Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100
"3","'008","Albania","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","1247.851000","1276.366000","1308.360000","1343.575000","1381.087000","1418.850000","1456.820000","1497.956000","1543.978000","1595.011000","1649.387000","1698.791000","1743.733000","1791.285000","1841.441000","1894.312000","1950.044000","2008.521000","2068.841000","2126.875000","2181.220000","2234.992000","2289.265000","2344.105000","2399.401000","2454.859000","2510.580000","2566.599000","2624.621000","2681.385000","2735.416000","2790.413000","2846.907000","2905.130000","2964.958000","3026.242000","3087.652000","3148.838000","3212.919000","3260.374000","3277.966000","3282.602000","3282.501000","3277.825000","3269.410000","3258.567000","3245.678000","3229.660000","3210.133000","3188.595000","3166.148000","3147.943000","3134.092000","3118.088000","3098.657000","3076.159000","3050.809000","3022.887000","2992.930000","2961.479000","2928.722000","2911.504000","2910.004000","2907.573000","2903.749000","2898.632000","2897.867000","2898.242000","2894.231000","2885.010000","2871.954000","2849.635000","2827.608000","2811.655000","2791.765000","2771.508000","2751.025000","2731.225000","2711.660000","2691.910000","2671.885000","2651.874000","2632.160000","2612.048000","2591.317000","2570.580000","2549.689000","2528.236000","2506.595000","2484.374000","2461.866000","2439.519000","2417.264000","2395.166000","2373.261000","2351.280000","2328.952000","2306.865000","2284.841000","2262.548000","2240.166000","2218.012000","2195.840000","2173.329000","2150.774000","2128.300000","2106.073000","2083.968000","2061.943000","2039.982000","2017.998000","1996.206000","1974.543000","1952.815000","1931.103000","1909.488000","1888.155000","1866.857000","1845.407000","1824.099000","1802.818000","1781.410000","1759.873000","1738.330000","1716.473000","1694.380000","1672.511000","1650.545000","1628.466000","1606.486000","1584.303000","1561.893000","1539.373000","1516.782000","1494.285000","1471.967000","1449.876000","1428.111000","1406.581000","1385.277000","1364.419000","1344.055000","1324.192000","1304.876000","1286.145000","1268.008000","1250.429000","1233.362000","1216.785000","1200.681000","1184.997000"
"3","'008","Albania","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","638.737000","650.468000","664.213000","679.763000","696.509000","713.582000","732.066000","753.282000","777.031000","803.197000","830.771000","855.977000","879.232000","903.794000","929.640000","956.808000","985.358000","1015.178000","1045.702000","1075.166000","1103.115000","1130.886000","1158.899000","1187.153000","1215.590000","1244.047000","1272.578000","1301.220000","1330.744000","1359.239000","1386.103000","1413.416000","1441.302000","1469.865000","1499.057000","1528.794000","1558.468000","1588.034000","1619.044000","1640.914000","1646.670000","1645.452000","1641.611000","1635.188000","1626.657000","1616.705000","1605.548000","1592.628000","1577.826000","1562.052000","1545.776000","1534.704000","1530.008000","1525.207000","1518.563000","1510.212000","1500.227000","1488.767000","1476.165000","1462.725000","1448.521000","1440.893000","1440.024000","1438.752000","1436.868000","1434.399000","1434.134000","1434.442000","1432.571000","1428.169000","1421.407000","1409.655000","1398.267000","1390.104000","1380.022000","1369.705000","1359.294000","1349.252000","1339.355000","1329.403000","1319.351000","1309.347000","1299.539000","1289.579000","1279.357000","1269.172000","1258.960000","1248.516000","1238.025000","1227.295000","1216.477000","1205.795000","1195.211000","1184.757000","1174.455000","1164.170000","1153.765000","1143.531000","1133.380000","1123.141000","1112.894000","1102.799000","1092.724000","1082.505000","1072.288000","1062.130000","1052.108000","1042.152000","1032.237000","1022.351000","1012.438000","1002.602000","992.808000","982.947000","973.057000","963.167000","953.370000","943.538000","933.567000","923.596000","913.568000","903.404000","893.095000","882.708000","872.093000","861.289000","850.529000","839.661000","828.683000","817.714000","806.604000","795.347000","784.010000","772.633000","761.299000","750.052000","738.928000","727.974000","717.149000","706.444000","695.964000","685.734000","675.747000","666.019000","656.568000","647.396000","638.479000","629.787000","621.313000","613.046000","604.962000"
"3","'008","Albania","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","609.114000","625.898000","644.146000","663.813000","684.578000","705.268000","724.755000","744.674000","766.947000","791.814000","818.616000","842.813000","864.501000","887.490000","911.802000","937.504000","964.687000","993.343000","1023.139000","1051.709000","1078.104000","1104.106000","1130.367000","1156.951000","1183.812000","1210.812000","1238.003000","1265.379000","1293.878000","1322.146000","1349.313000","1376.997000","1405.605000","1435.265000","1465.901000","1497.447000","1529.184000","1560.804000","1593.875000","1619.460000","1631.296000","1637.150000","1640.890000","1642.637000","1642.753000","1641.862000","1640.130000","1637.032000","1632.306000","1626.543000","1620.371000","1613.240000","1604.083000","1592.880000","1580.095000","1565.947000","1550.582000","1534.120000","1516.765000","1498.755000","1480.200000","1470.611000","1469.980000","1468.821000","1466.882000","1464.233000","1463.732000","1463.801000","1461.660000","1456.841000","1450.547000","1439.981000","1429.341000","1421.551000","1411.743000","1401.803000","1391.730000","1381.974000","1372.305000","1362.507000","1352.534000","1342.526000","1332.621000","1322.469000","1311.960000","1301.408000","1290.728000","1279.720000","1268.570000","1257.078000","1245.389000","1233.724000","1222.052000","1210.408000","1198.806000","1187.110000","1175.187000","1163.333000","1151.461000","1139.408000","1127.272000","1115.213000","1103.116000","1090.824000","1078.486000","1066.170000","1053.966000","1041.816000","1029.706000","1017.630000","1005.560000","993.603000","981.735000","969.867000","958.047000","946.322000","934.784000","923.318000","911.840000","900.503000","889.250000","878.006000","866.778000","855.622000","844.380000","833.091000","821.981000","810.885000","799.783000","788.773000","777.699000","766.546000","755.363000","744.149000","732.986000","721.915000","710.948000","700.137000","689.432000","678.833000","668.455000","658.321000","648.445000","638.856000","629.576000","620.612000","611.951000","603.575000","595.472000","587.635000","580.035000"
"3","'008","Albania","3010","Population - Est. & Proj.","551","Rural population","1000 No","1003.869000","1010.645000","1016.436000","1023.453000","1030.967000","1038.512000","1052.235000","1071.504000","1091.461000","1112.188000","1133.697000","1164.229000","1198.718000","1233.922000","1269.163000","1303.967000","1338.094000","1371.628000","1404.776000","1437.257000","1467.991000","1498.850000","1529.743000","1560.670000","1591.577000","1622.471000","1653.365000","1684.337000","1715.370000","1746.480000","1776.005000","1804.665000","1832.278000","1860.451000","1891.335000","1925.949000","1965.997000","2009.561000","2049.704000","2077.214000","2086.075000","2073.348000","2033.508000","1983.942000","1936.056000","1897.862000","1871.645000","1854.740000","1843.604000","1832.914000","1818.833000","1797.423000","1762.229000","1724.344000","1683.584000","1640.246000","1593.892000","1545.166000","1496.108000","1449.427000","1406.665000","1368.297000","1333.585000","1302.236000","1272.790000","1244.341000","1216.737000","1190.155000","1164.388000","1139.266000","1114.672000","1090.487000","1066.667000","1043.276000","1020.417000","998.161000","976.498000","955.382000","934.800000","914.735000","895.174000","876.116000","857.570000","839.540000","822.025000","805.034000","788.573000","772.664000","757.351000","742.008000","726.709000","711.475000","696.319000","681.265000","666.337000","651.555000","636.931000","622.480000","608.216000","594.158000","580.320000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","3010","Population - Est. & Proj.","561","Urban population","1000 No","259.305000","276.852000","299.653000","324.646000","351.911000","381.458000","406.854000","428.645000","451.761000","476.296000","502.359000","521.671000","538.926000","556.612000","574.430000","592.158000","609.691000","627.065000","644.375000","662.396000","682.607000","703.185000","724.101000","745.333000","766.886000","788.758000","810.971000","833.535000","856.480000","879.806000","905.234000","930.664000","956.036000","982.173000","1010.257000","1040.849000","1075.010000","1111.775000","1147.363000","1176.442000","1195.379000","1202.083000","1207.079000","1205.641000","1204.539000","1208.874000","1220.583000","1238.301000","1260.155000","1282.662000","1303.137000","1324.985000","1356.800000","1386.661000","1414.163000","1438.933000","1460.439000","1478.741000","1495.543000","1513.208000","1533.860000","1558.362000","1586.454000","1616.742000","1647.985000","1679.011000","1709.611000","1740.032000","1769.975000","1799.162000","1827.362000","1854.317000","1879.873000","1904.065000","1927.019000","1948.831000","1969.454000","1988.766000","2006.714000","2023.226000","2038.245000","2051.748000","2063.726000","2074.176000","2083.070000","2090.417000","2096.209000","2100.469000","2103.221000","2105.172000","2106.349000","2106.784000","2106.493000","2105.513000","2103.911000","2101.720000","2098.974000","2095.708000","2091.963000","2087.803000","2083.271000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","'020","Andorra","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","5.996000","5.819000","5.455000","5.323000","5.602000","6.165000","6.765000","7.399000","8.068000","8.771000","9.510000","10.283000","11.086000","11.915000","12.764000","13.634000","14.626000","15.837000","17.176000","18.555000","19.977000","21.442000","22.957000","24.523000","26.130000","27.773000","29.436000","31.097000","32.735000","34.306000","35.782000","37.169000","38.764000","40.565000","42.273000","43.825000","45.734000","47.653000","49.416000","50.620000","52.597000","56.667000","60.200000","63.272000","64.612000","63.912000","63.984000","64.700000","65.382000","65.710000","65.685000","65.852000","66.506000","69.486000","74.325000","77.421000","79.585000","81.877000","83.495000","83.888000","80.706000","77.783000","76.834000","75.194000","73.737000","72.174000","72.181000","73.763000","75.162000","76.474000","77.380000","78.364000","79.705000","80.856000","81.938000","82.904000","83.753000","84.463000","84.958000","85.344000","85.681000","85.883000","85.984000","86.055000","86.106000","86.174000","86.121000","86.007000","85.941000","85.844000","85.668000","85.478000","85.284000","85.013000","84.678000","84.294000","83.917000","83.515000","83.087000","82.641000","82.195000","81.668000","81.075000","80.457000","79.766000","79.056000","78.331000","77.576000","76.811000","76.028000","75.222000","74.406000","73.586000","72.761000","71.932000","71.099000","70.341000","69.594000","68.779000","67.979000","67.212000","66.497000","65.789000","65.062000","64.367000","63.670000","62.969000","62.257000","61.512000","60.787000","60.086000","59.388000","58.678000","57.964000","57.295000","56.664000","56.017000","55.358000","54.712000","54.060000","53.416000","52.781000","52.134000","51.484000","50.843000","50.211000","49.586000","48.973000","48.373000","47.791000","47.222000"
"6","'020","Andorra","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","2.886000","2.782000","2.571000","2.490000","2.645000","2.958000","3.289000","3.643000","4.016000","4.408000","4.818000","5.248000","5.691000","6.149000","6.620000","7.101000","7.653000","8.333000","9.086000","9.858000","10.649000","11.463000","12.306000","13.178000","14.069000","14.977000","15.890000","16.797000","17.691000","18.550000","19.363000","20.128000","20.934000","21.790000","22.599000","23.322000","24.217000","25.182000","26.121000","26.654000","27.773000","30.152000","32.033000","33.696000","34.359000","33.769000","33.650000","33.956000","34.264000","34.339000","34.227000","34.216000","34.483000","36.056000","38.688000","40.374000","41.584000","42.852000","43.674000","43.766000","41.608000","39.682000","39.163000","38.240000","37.401000","36.505000","36.502000","37.398000","38.203000","38.914000","39.386000","40.011000","40.793000","41.354000","41.883000","42.361000","42.777000","43.121000","43.358000","43.538000","43.690000","43.770000","43.801000","43.816000","43.816000","43.825000","43.773000","43.688000","43.622000","43.541000","43.423000","43.296000","43.166000","42.995000","42.791000","42.564000","42.341000","42.104000","41.856000","41.600000","41.343000","41.047000","40.718000","40.380000","40.005000","39.619000","39.228000","38.827000","38.422000","38.010000","37.589000","37.163000","36.739000","36.320000","35.897000","35.469000","35.087000","34.712000","34.304000","33.906000","33.522000","33.169000","32.824000","32.468000","32.127000","31.785000","31.442000","31.093000","30.727000","30.370000","30.021000","29.673000","29.320000","28.962000","28.626000","28.309000","27.982000","27.648000","27.318000","26.983000","26.657000","26.334000","26.003000","25.671000","25.341000","25.023000","24.708000","24.400000","24.098000","23.803000","23.520000"
"6","'020","Andorra","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","3.110000","3.037000","2.885000","2.833000","2.957000","3.207000","3.475000","3.757000","4.051000","4.362000","4.692000","5.035000","5.394000","5.766000","6.144000","6.532000","6.973000","7.504000","8.089000","8.697000","9.328000","9.979000","10.650000","11.345000","12.060000","12.797000","13.546000","14.300000","15.044000","15.756000","16.419000","17.041000","17.830000","18.775000","19.674000","20.503000","21.517000","22.471000","23.295000","23.966000","24.823000","26.515000","28.166000","29.576000","30.253000","30.143000","30.334000","30.743000","31.117000","31.371000","31.458000","31.636000","32.023000","33.429000","35.636000","37.047000","38.002000","39.026000","39.821000","40.123000","39.099000","38.101000","37.671000","36.953000","36.337000","35.669000","35.679000","36.364000","36.959000","37.559000","37.994000","38.353000","38.912000","39.502000","40.054000","40.544000","40.976000","41.343000","41.600000","41.806000","41.992000","42.112000","42.183000","42.239000","42.290000","42.349000","42.349000","42.319000","42.319000","42.303000","42.245000","42.181000","42.118000","42.017000","41.886000","41.730000","41.576000","41.411000","41.230000","41.041000","40.852000","40.620000","40.356000","40.077000","39.760000","39.438000","39.102000","38.749000","38.389000","38.019000","37.634000","37.243000","36.846000","36.441000","36.035000","35.630000","35.254000","34.882000","34.475000","34.074000","33.690000","33.328000","32.965000","32.593000","32.239000","31.885000","31.527000","31.163000","30.785000","30.417000","30.064000","29.715000","29.359000","29.002000","28.669000","28.355000","28.035000","27.710000","27.393000","27.078000","26.759000","26.447000","26.131000","25.814000","25.502000","25.189000","24.878000","24.573000","24.275000","23.988000","23.703000"
"6","'020","Andorra","3010","Population - Est. & Proj.","551","Rural population","1000 No","3.792000","3.966000","4.156000","4.357000","4.554000","4.748000","4.938000","5.115000","5.281000","5.437000","5.572000","5.609000","5.616000","5.601000","5.554000","5.482000","5.385000","5.264000","5.125000","4.975000","4.818000","4.657000","4.491000","4.315000","4.123000","3.914000","3.692000","3.467000","3.246000","3.044000","2.862000","2.700000","2.553000","2.416000","2.285000","2.159000","2.175000","2.336000","2.508000","2.690000","2.882000","3.100000","3.343000","3.591000","3.830000","4.047000","4.232000","4.387000","4.537000","4.721000","4.973000","5.349000","5.855000","6.435000","7.052000","7.662000","8.256000","8.840000","9.221000","9.365000","9.442000","9.442000","9.371000","9.261000","9.157000","9.093000","9.082000","9.120000","9.187000","9.261000","9.327000","9.383000","9.434000","9.478000","9.514000","9.542000","9.560000","9.566000","9.561000","9.547000","9.525000","9.496000","9.458000","9.412000","9.357000","9.293000","9.222000","9.141000","9.053000","8.955000","8.849000","8.734000","8.611000","8.480000","8.348000","8.214000","8.080000","7.946000","7.809000","7.672000","7.534000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","'020","Andorra","3010","Population - Est. & Proj.","561","Urban population","1000 No","2.404000","2.723000","3.091000","3.508000","3.971000","4.484000","5.051000","5.664000","6.334000","7.061000","7.839000","8.766000","9.754000","10.811000","11.915000","13.067000","14.262000","15.494000","16.765000","18.083000","19.458000","20.902000","22.401000","23.917000","25.397000","26.791000","28.085000","29.304000","30.491000","31.774000","33.205000","34.800000","36.561000","38.451000","40.421000","42.441000","44.342000","46.119000","47.926000","49.758000","51.627000","53.571000","55.545000","57.380000","58.847000","59.803000","60.128000","59.940000","59.605000","59.649000","60.417000","61.992000","64.194000","66.747000","69.192000","71.205000","72.735000","73.843000","74.640000","75.097000","75.007000","74.309000","73.060000","71.527000","70.066000","68.921000","68.199000","67.845000","67.766000","67.811000","67.857000","67.893000","67.958000","68.043000","68.135000","68.233000","68.327000","68.405000","68.476000","68.542000","68.629000","68.724000","68.826000","68.930000","69.040000","69.151000","69.264000","69.376000","69.493000","69.601000","69.701000","69.791000","69.867000","69.935000","69.981000","69.991000","69.980000","69.946000","69.875000","69.774000","69.653000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11","'040","Austria","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","6936.449000","6930.484000","6927.252000","6932.082000","6939.891000","6946.655000","6952.264000","6965.834000","6987.338000","7014.265000","7047.274000","7086.057000","7129.579000","7175.493000","7223.395000","7270.415000","7321.519000","7376.289000","7414.623000","7440.301000","7466.319000","7499.635000","7543.259000","7585.105000","7597.967000","7577.830000","7564.457000","7567.336000","7561.204000","7548.341000","7548.406000","7567.556000","7573.078000","7561.163000","7560.715000","7564.309000","7569.395000","7574.315000","7585.342000","7620.407000","7679.624000","7757.140000","7842.712000","7907.495000","7938.155000","7950.322000","7960.914000","7969.803000","7978.466000","7993.892000","8012.928000","8042.233000","8081.636000","8122.602000","8173.491000","8229.204000","8269.898000","8296.952000","8323.253000","8345.066000","8365.092000","8393.270000","8431.601000","8481.406000","8547.817000","8644.039000","8737.915000","8798.778000","8841.650000","8880.876000","8921.405000","8967.057000","9064.677000","9130.429000","9120.813000","9113.574000","9107.266000","9101.493000","9096.265000","9089.763000","9080.346000","9069.088000","9056.510000","9043.486000","9029.409000","9014.208000","8999.246000","8982.695000","8966.400000","8950.790000","8934.061000","8917.559000","8900.674000","8883.178000","8864.497000","8844.730000","8824.199000","8801.903000","8777.846000","8751.755000","8724.332000","8696.685000","8667.922000","8636.710000","8603.886000","8570.635000","8537.012000","8501.897000","8465.818000","8430.060000","8394.695000","8360.105000","8325.620000","8291.173000","8258.211000","8225.772000","8193.049000","8161.533000","8131.306000","8101.555000","8072.756000","8045.284000","8017.717000","7990.447000","7963.623000","7937.308000","7911.662000","7884.737000","7857.206000","7830.807000","7805.761000","7781.119000","7755.989000","7730.759000","7705.346000","7680.365000","7656.850000","7634.721000","7612.694000","7590.341000","7569.186000","7549.429000","7530.928000","7513.401000","7496.581000","7479.874000","7462.943000","7446.092000","7429.819000","7414.451000","7399.328000"
"11","'040","Austria","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","3219.959000","3215.285000","3214.378000","3218.048000","3223.111000","3227.510000","3231.249000","3239.023000","3250.655000","3265.001000","3282.524000","3302.682000","3325.660000","3350.423000","3376.590000","3403.565000","3433.660000","3465.608000","3487.520000","3502.182000","3517.603000","3537.065000","3562.332000","3587.086000","3593.688000","3580.298000","3572.376000","3574.646000","3572.130000","3565.764000","3566.950000","3579.978000","3586.160000","3582.789000","3585.570000","3591.057000","3598.206000","3605.479000","3616.068000","3639.413000","3676.263000","3722.280000","3770.714000","3807.845000","3826.945000","3835.041000","3841.403000","3846.948000","3852.831000","3862.793000","3875.271000","3894.012000","3918.159000","3941.539000","3969.280000","4000.088000","4022.626000","4036.762000","4050.329000","4062.236000","4073.188000","4089.115000","4111.499000","4140.101000","4178.454000","4237.047000","4293.097000","4326.092000","4348.396000","4368.489000","4389.081000","4411.996000","4460.698000","4494.035000","4490.614000","4488.485000","4486.699000","4485.088000","4483.713000","4481.685000","4478.193000","4473.792000","4468.744000","4463.492000","4457.708000","4451.359000","4445.118000","4438.051000","4431.088000","4424.438000","4417.209000","4410.074000","4402.698000","4394.968000","4386.620000","4377.740000","4368.523000","4358.428000","4347.480000","4335.581000","4323.056000","4310.473000","4297.413000","4283.216000","4268.288000","4253.252000","4238.109000","4222.301000","4206.082000","4190.044000","4174.241000","4158.886000","4143.593000","4128.271000","4113.618000","4099.133000","4084.448000","4070.271000","4056.615000","4043.075000","4029.899000","4017.271000","4004.494000","3991.789000","3979.220000","3966.860000","3954.810000","3942.102000","3929.093000","3916.620000","3904.783000","3893.170000","3881.352000","3869.479000","3857.479000","3845.669000","3834.558000","3824.100000","3813.684000","3803.064000","3792.981000","3783.515000","3774.597000","3766.080000","3757.827000","3749.535000","3741.008000","3732.421000","3724.063000","3716.109000","3708.213000"
"11","'040","Austria","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","3716.490000","3715.198000","3712.874000","3714.034000","3716.780000","3719.144000","3721.015000","3726.811000","3736.683000","3749.264000","3764.749000","3783.375000","3803.919000","3825.070000","3846.805000","3866.850000","3887.858000","3910.682000","3927.104000","3938.119000","3948.716000","3962.570000","3980.927000","3998.019000","4004.278000","3997.532000","3992.081000","3992.689000","3989.075000","3982.577000","3981.456000","3987.578000","3986.918000","3978.374000","3975.145000","3973.251000","3971.189000","3968.836000","3969.274000","3980.994000","4003.361000","4034.860000","4071.998000","4099.650000","4111.210000","4115.281000","4119.511000","4122.855000","4125.635000","4131.100000","4137.657000","4148.220000","4163.477000","4181.063000","4204.212000","4229.116000","4247.272000","4260.190000","4272.924000","4282.829000","4291.904000","4304.155000","4320.101000","4341.305000","4369.364000","4406.991000","4444.819000","4472.685000","4493.255000","4512.387000","4532.324000","4555.060000","4603.980000","4636.394000","4630.199000","4625.088000","4620.566000","4616.404000","4612.552000","4608.079000","4602.154000","4595.296000","4587.765000","4579.994000","4571.701000","4562.849000","4554.128000","4544.644000","4535.312000","4526.353000","4516.852000","4507.485000","4497.976000","4488.209000","4477.877000","4466.989000","4455.676000","4443.474000","4430.367000","4416.175000","4401.276000","4386.212000","4370.508000","4353.494000","4335.597000","4317.382000","4298.902000","4279.596000","4259.736000","4240.016000","4220.454000","4201.220000","4182.027000","4162.901000","4144.593000","4126.639000","4108.601000","4091.262000","4074.691000","4058.479000","4042.857000","4028.012000","4013.222000","3998.658000","3984.403000","3970.448000","3956.852000","3942.635000","3928.112000","3914.187000","3900.978000","3887.949000","3874.637000","3861.280000","3847.867000","3834.697000","3822.293000","3810.621000","3799.011000","3787.276000","3776.206000","3765.914000","3756.332000","3747.322000","3738.753000","3730.338000","3721.935000","3713.670000","3705.756000","3698.342000","3691.115000"
"11","'040","Austria","3010","Population - Est. & Proj.","551","Rural population","1000 No","2525.124000","2515.432000","2507.546000","2501.166000","2496.047000","2492.108000","2489.371000","2488.016000","2488.255000","2490.374000","2494.579000","2502.139000","2514.678000","2528.392000","2542.382000","2555.975000","2568.823000","2580.876000","2592.004000","2602.184000","2611.323000","2619.864000","2629.784000","2638.025000","2643.929000","2647.117000","2647.413000","2645.204000","2641.387000","2637.206000","2633.629000","2633.901000","2653.123000","2673.548000","2695.234000","2718.162000","2742.287000","2767.779000","2795.458000","2826.281000","2860.918000","2900.066000","2943.132000","2987.625000","3030.243000","3068.534000","3101.282000","3129.222000","3154.649000","3180.924000","3210.563000","3244.424000","3281.833000","3321.438000","3361.157000","3399.400000","3435.541000","3470.218000","3504.967000","3541.925000","3582.684000","3628.001000","3650.043000","3659.591000","3666.869000","3669.727000","3667.377000","3660.707000","3649.748000","3636.627000","3622.850000","3608.752000","3593.850000","3577.856000","3560.245000","3540.644000","3519.078000","3495.720000","3470.533000","3443.469000","3414.511000","3383.671000","3351.009000","3316.623000","3280.641000","3243.184000","3204.322000","3164.112000","3122.669000","3080.112000","3036.554000","2992.102000","2946.874000","2901.053000","2855.212000","2809.513000","2763.989000","2718.655000","2673.501000","2628.497000","2583.638000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11","'040","Austria","3010","Population - Est. & Proj.","561","Urban population","1000 No","4411.315000","4415.906000","4423.650000","4433.976000","4446.572000","4461.298000","4478.254000","4497.708000","4520.169000","4546.176000","4576.187000","4609.003000","4642.155000","4677.602000","4713.709000","4749.183000","4783.417000","4816.295000","4847.575000","4877.162000","4904.916000","4930.476000","4951.333000","4969.040000","4982.361000","4990.572000","4993.336000","4991.372000","4986.372000","4980.678000","4976.123000","4970.612000","4949.058000","4929.554000","4912.059000","4896.706000","4883.106000","4871.573000","4863.382000","4860.291000","4863.031000","4872.635000","4887.801000","4904.461000","4916.966000","4921.587000","4916.581000","4903.654000","4886.401000","4870.189000","4858.713000","4853.324000","4852.579000","4854.414000","4855.648000","4854.250000","4849.194000","4841.565000","4833.486000","4828.113000","4827.265000","4831.863000","4867.505000","4918.191000","4966.351000","5008.930000","5044.760000","5074.746000","5102.072000","5129.574000","5159.360000","5191.931000","5226.617000","5263.010000","5300.327000","5337.973000","5375.922000","5414.373000","5453.197000","5492.238000","5531.371000","5570.504000","5609.611000","5648.727000","5687.933000","5727.293000","5766.775000","5806.319000","5845.951000","5885.700000","5925.556000","5965.470000","6005.345000","6044.980000","6083.780000","6121.557000","6158.331000","6194.078000","6228.722000","6262.127000","6294.219000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"57","'112","Belarus","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10217.561000","10241.320000","10230.187000","10197.463000","10164.028000","10122.364000","10080.578000","10039.223000","9991.313000","9938.065000","9873.450000","9803.176000","9735.091000","9667.838000","9608.036000","9563.133000","9529.358000","9507.337000","9490.752000","9472.735000","9463.076000","9464.453000","9472.708000","9487.293000","9499.064000","9495.790000","9480.031000","9435.419000","9350.944000","9251.365000","9173.237000","9115.680000","9056.696000","8997.603000","8937.018000","8875.626000","8813.861000","8751.058000","8687.632000","8624.458000","8561.292000","8497.926000","8434.836000","8372.271000","8310.226000","8248.680000","8187.278000","8125.767000","8064.466000","8003.444000","7943.010000","7883.213000","7823.422000","7763.466000","7703.322000","7642.602000","7580.623000","7517.485000","7453.546000","7388.575000","7322.182000","7254.285000","7185.167000","7114.779000","7043.347000","6971.346000","6899.066000","6826.546000","6753.786000","6681.197000","6608.835000","6536.558000","6464.519000","6392.854000","6321.650000","6251.087000","6181.422000","6112.590000","6044.485000","5977.050000","5910.450000","5844.722000","5779.793000","5715.777000","5652.578000","5590.075000","5528.405000","5467.663000","5407.683000","5348.627000","5290.581000","5233.511000","5177.397000","5122.140000","5067.766000","5014.225000","4961.454000","4909.293000","4857.564000","4806.297000","4755.353000","4704.489000","4653.766000","4603.212000","4552.796000","4502.445000","4452.024000","4401.466000","4350.962000"
